,Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,player_id,1D,Awards,QBR
6,1968,27,HOU,qb,10.0,11,4,3-1-0,53,105,50.5,864,10,9.5,3,2.9,60,8.2,8.8,16.3,78.5,98.3,0,0,0.0,8.23,8.85,,,3,420,,,
7,1969,28,HOU,,10.0,14,3,0-1-2,34,75,45.3,469,3,4.0,6,8.0,57,6.3,3.5,13.8,33.5,45.9,11,85,12.8,4.47,2.02,2.0,1.0,1,420,,,
8,Career,Career,,,,77,18,4-12-2,276,637,43.3,3980,30,4.7,28,4.4,62,6.2,5.2,14.4,51.7,61.6,11,85,1.7,6.01,4.99,2.0,2.0,18,420,,,
9,6 yrs,6 yrs,HOU,,,70,15,4-9-2,249,556,44.8,3538,29,5.2,21,3.8,62,6.4,5.7,14.2,50.5,67.6,11,85,1.9,6.09,5.45,2.0,2.0,16,420,,,
10,1 yr,1 yr,BOS,,,7,3,0-3-0,27,81,33.3,442,1,1.2,7,8.6,52,5.5,1.8,16.4,63.1,20.7,0,0,0.0,5.46,1.81,,,2,420,,,
0,1975,22,CHI,,7.0,8,4,2-2-0,67,126,53.2,942,6,4.8,11,8.7,57,7.5,4.5,14.1,117.8,57.0,13,144,9.4,5.74,3.04,1.0,1.0,3,421,,,
1,1976,23,CHI,QB,7.0,14,14,7-7-0,118,271,43.5,1580,8,3.0,15,5.5,63,5.8,3.9,13.4,112.9,49.4,24,225,8.1,4.59,2.85,,,7,421,,,
2,1977,24,CHI,QB,7.0,14,14,9-5-0,154,293,52.6,2004,11,3.8,18,6.1,75,6.8,4.8,13.0,143.1,61.3,23,200,7.3,5.71,3.84,3.0,4.0,11,421,,,
3,1978,25,CHI,QB,7.0,13,12,4-8-0,141,264,53.4,1718,5,1.9,16,6.1,61,6.5,4.2,12.2,132.2,54.8,26,208,9.0,5.21,3.07,1.0,2.0,7,421,,,
4,1979,26,CHI,,7.0,7,3,1-2-0,27,51,52.9,310,2,3.9,3,5.9,54,6.1,4.2,11.5,44.3,60.1,8,58,13.6,4.27,2.66,0.0,1.0,1,421,,,
5,1981,28,CHI,,7.0,9,0,,15,32,46.9,185,1,3.1,3,9.4,72,5.8,2.2,12.3,20.6,36.6,7,52,17.9,3.41,0.46,1.0,1.0,0,421,,,
6,1982,29,CHI,,7.0,2,2,0-2-0,8,20,40.0,84,0,0.0,0,0.0,21,4.2,4.2,10.5,42.0,52.9,4,31,16.7,2.21,2.21,,,0,421,,,
7,1983,30,CHI,,7.0,2,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,421,,,
8,1984,31,CHI,,7.0,4,1,0-1-0,30,53,56.6,288,0,0.0,3,5.7,50,5.4,2.9,9.6,72.0,48.3,5,43,8.6,4.22,1.9,1.0,1.0,1,421,,,
9,Career,Career,,,,73,50,23-27-0,560,1110,50.5,7111,33,3.0,69,6.2,75,6.4,4.2,12.7,97.4,54.8,110,961,9.0,5.04,3.04,7.0,10.0,30,421,,,
0,1984,23,CIN,,7.0,10,4,3-1-0,51,102,50.0,530,3,2.9,3,2.9,36,5.2,4.5,10.4,53.0,62.9,5,52,4.7,4.47,3.77,1.0,1.0,2,422,,,
1,1985,24,CIN,QB,7.0,15,14,7-7-0,251,431,58.2,3443,27,6.3,12,2.8,68,8.0,8.0,13.7,229.5,93.2,32,289,6.9,6.81,6.81,1.0,1.0,14,422,,,
2,1986*,25,CIN,QB,7.0,16,16,10-6-0,273,469,58.2,3959,24,5.1,17,3.6,57,8.4,7.8,14.5,247.4,87.7,26,194,5.3,7.61,7.03,3.0,4.0,15,422,,PB,
3,1987,26,CIN,QB,7.0,12,12,3-9-0,240,440,54.5,3321,16,3.6,19,4.3,61,7.5,6.3,13.8,276.8,73.1,26,209,5.6,6.68,5.53,3.0,3.0,11,422,,,
4,1988*+,27,CIN,QB,7.0,16,16,12-4-0,223,388,57.5,3572,28,7.2,14,3.6,86,9.2,9.0,16.0,223.3,97.4,30,245,7.2,7.96,7.79,3.0,4.0,19,422,,"AP MVP-1, AP OPoY-2, AP1, PB",
5,1989*,28,CIN,QB,7.0,16,15,7-8-0,258,455,56.7,3525,28,6.2,11,2.4,74,7.7,7.9,13.7,220.3,92.1,36,288,7.3,6.59,6.73,0.0,1.0,15,422,,PB,
6,1990,29,CIN,QB,7.0,16,16,9-7-0,224,402,55.7,3031,24,6.0,22,5.5,53,7.5,6.3,13.5,189.4,77.0,31,198,7.2,6.54,5.36,2.0,4.0,13,422,,,
7,1991,30,CIN,QB,7.0,14,14,3-11-0,233,413,56.4,2883,13,3.1,16,3.9,53,7.0,5.9,12.4,205.9,72.5,25,190,5.7,6.15,5.1,2.0,2.0,8,422,,,
8,1992,31,CIN,QB,7.0,12,11,4-7-0,144,278,51.8,1407,11,4.0,15,5.4,38,5.1,3.4,9.8,117.3,57.0,19,150,6.4,4.23,2.7,1.0,2.0,3,422,,,
9,1993*,32,NYJ,QB,7.0,16,16,8-8-0,288,473,60.9,3421,16,3.4,11,2.3,77,7.2,6.9,11.9,213.8,84.5,18,139,3.7,6.68,6.33,,,12,422,,PB,
10,1994,33,NYJ,QB,7.0,15,14,5-9-0,255,440,58.0,2782,17,3.9,13,3.0,69,6.3,5.8,10.9,185.5,77.3,19,134,4.1,5.77,5.24,1.0,2.0,8,422,136.0,,
11,1995,34,NYJ,QB,7.0,12,12,2-10-0,221,389,56.8,2275,16,4.1,15,3.9,43,5.8,4.9,10.3,189.6,71.4,27,198,6.5,4.99,4.14,,,3,422,118.0,,
12,1996,35,ARI,QB,7.0,10,8,3-5-0,190,339,56.0,2293,11,3.2,14,4.1,64,6.8,5.6,12.1,229.3,70.6,17,109,4.8,6.13,4.98,2.0,2.0,7,422,117.0,,
13,1997,36,CIN,qb,7.0,7,5,4-1-0,118,186,63.4,1478,13,7.0,2,1.1,77,7.9,8.9,12.5,211.1,106.9,7,43,3.6,7.44,8.32,,,7,422,76.0,,
14,Career,Career,,,,187,173,80-93-0,2969,5205,57.0,37920,247,4.7,184,3.5,86,7.3,6.6,12.8,202.8,81.1,318,2438,5.8,6.42,5.82,19.0,26.0,137,422,447.0,,
15,10 yrs,10 yrs,CIN,,,134,123,62-61-0,2015,3564,56.5,27149,187,5.2,131,3.7,86,7.6,7.0,13.5,202.6,83.1,237,1858,6.2,6.65,6.09,16.0,22.0,107,422,76.0,,
16,3 yrs,3 yrs,NYJ,,,43,42,15-27-0,764,1302,58.7,8478,49,3.8,39,3.0,77,6.5,5.9,11.1,197.2,78.2,64,471,4.7,5.86,5.29,1.0,2.0,23,422,254.0,,
17,1 yr,1 yr,ARI,,,10,8,3-5-0,190,339,56.0,2293,11,3.2,14,4.1,64,6.8,5.6,12.1,229.3,70.6,17,109,4.8,6.13,4.98,2.0,2.0,7,422,117.0,,
0,1989,27,BUF,,16.0,1,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,423,,,
1,1991,29,PHO,,10.0,6,3,0-3-0,61,118,51.7,674,3,2.5,10,8.5,34,5.7,2.4,11.0,112.3,42.1,10,94,7.8,4.53,1.48,,,2,423,,,
2,1992,30,SEA,QB,18.0,10,8,0-8-0,121,255,47.5,1307,6,2.4,11,4.3,57,5.1,3.7,10.8,130.7,52.9,34,265,11.8,3.61,2.31,1.0,1.0,0,423,,,
3,1993,31,SEA,,18.0,1,0,,3,5,60.0,39,0,0.0,1,20.0,22,7.8,-1.2,13.0,39.0,45.0,1,7,16.7,5.33,-2.17,,,0,423,,,
4,1994,32,SEA,,18.0,1,0,,7,11,63.6,80,1,9.1,0,0.0,25,7.3,9.1,11.4,80.0,115.7,0,0,0.0,7.27,9.09,,,0,423,4.0,,
5,1996,34,SEA,,8.0,1,1,1-0-0,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1,11,33.3,-3.67,-3.67,,,0,423,,,
6,Career,Career,,,,20,12,1-11-0,192,391,49.1,2100,10,2.6,22,5.6,57,5.4,3.4,10.9,105.0,50.5,46,377,10.5,3.94,2.14,1.0,1.0,2,423,4.0,,
7,4 yrs,4 yrs,SEA,,,13,9,1-8-0,131,273,48.0,1426,7,2.6,12,4.4,57,5.2,3.8,10.9,109.7,54.1,36,283,11.7,3.7,2.4,1.0,1.0,0,423,4.0,,
8,1 yr,1 yr,BUF,,,1,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,423,0.0,,
9,1 yr,1 yr,PHO,,,6,3,0-3-0,61,118,51.7,674,3,2.5,10,8.5,34,5.7,2.4,11.0,112.3,42.1,10,94,7.8,4.53,1.48,,,2,423,0.0,,
0,2005,25,MIN,,13.0,1,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,424,,,
1,2007,27,SFO,,13.0,3,2,2-0-0,54,79,68.4,501,5,6.3,1,1.3,26,6.3,7.0,9.3,167.0,101.3,6,31,7.1,5.53,6.18,,,1,424,26.0,,58.9
2,2008,28,SFO,QB,13.0,9,8,5-3-0,181,288,62.8,2046,13,4.5,8,2.8,48,7.1,6.8,11.3,227.3,87.5,23,148,7.4,6.1,5.78,2.0,3.0,7,424,100.0,,62.1
3,2009,29,SFO,qb,13.0,6,6,3-3-0,87,155,56.1,943,5,3.2,2,1.3,61,6.1,6.1,10.8,157.2,79.6,18,107,10.4,4.83,4.89,1.0,1.0,3,424,33.0,,35.9
4,2010,30,DET,QB,14.0,11,10,3-7-0,257,416,61.8,2686,16,3.8,12,2.9,75,6.5,5.9,10.5,244.2,81.3,17,113,3.9,5.94,5.43,1.0,0.0,8,424,120.0,,53.2
5,2011,31,DET,,14.0,2,0,,2,3,66.7,33,0,0.0,0,0.0,28,11.0,11.0,16.5,16.5,103.5,0,0,0.0,11.0,11.0,,,0,424,1.0,,66.0
6,2012,32,DET,,14.0,1,0,,10,13,76.9,172,2,15.4,0,0.0,46,13.2,16.3,17.2,172.0,157.9,0,0,0.0,13.23,16.31,,,0,424,8.0,,44.2
7,2013,33,DET,,14.0,1,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,424,,,
8,2014,34,STL,qb,14.0,9,8,3-5-0,145,229,63.3,1657,8,3.5,7,3.1,63,7.2,6.6,11.4,184.1,83.9,18,116,7.3,6.24,5.61,,,4,424,82.0,,45.2
9,2015,35,MIN,,13.0,3,0,,2,7,28.6,15,0,0.0,0,0.0,9,2.1,2.1,7.5,5.0,39.6,1,11,12.5,0.5,0.5,0.0,1.0,0,424,,,2.6
10,2016,36,MIN,,13.0,3,1,1-0-0,19,35,54.3,242,0,0.0,0,0.0,33,6.9,6.9,12.7,80.7,76.1,1,7,2.8,6.53,6.53,,,1,424,12.0,,57.8
11,Career,Career,,,,49,35,17-18-0,757,1225,61.8,8295,49,4.0,30,2.4,75,6.8,6.5,11.0,169.3,84.9,84,533,6.4,5.93,5.65,4.0,5.0,24,424,382.0,,
12,4 yrs,4 yrs,DET,,,15,10,3-7-0,269,432,62.3,2891,18,4.2,12,2.8,75,6.7,6.3,10.7,192.7,84.2,17,113,3.8,6.19,5.79,1.0,0.0,8,424,129.0,,
13,3 yrs,3 yrs,MIN,,,7,1,1-0-0,21,42,50.0,257,0,0.0,0,0.0,33,6.1,6.1,12.2,36.7,69.2,2,18,4.5,5.43,5.43,0.0,1.0,1,424,12.0,,
14,3 yrs,3 yrs,SFO,,,18,16,10-6-0,322,522,61.7,3490,23,4.4,11,2.1,61,6.7,6.6,10.8,193.9,87.3,47,286,8.3,5.63,5.57,3.0,4.0,11,424,159.0,,
15,1 yr,1 yr,STL,,,9,8,3-5-0,145,229,63.3,1657,8,3.5,7,3.1,63,7.2,6.6,11.4,184.1,83.9,18,116,7.3,6.24,5.61,,,4,424,82.0,,
0,1996,23,TAM,,13.0,1,0.0,,2,3,66.7,9,0,0,0,0,8,3.0,3.0,4.5,9.0,70.1,0,0,0,3.0,3.0,,,0,426,,,
1,Career,Career,,,,1,,,2,3,66.7,9,0,0,0,0,8,3.0,3.0,4.5,9.0,70.1,0,0,0,3.0,3.0,,,0,426,0.0,,
0,1991,25,PIT,QB,14.0,12,8,2-6-0,156,286,54.5,1963,11,3.8,7,2.4,89,6.9,6.5,12.6,163.6,78.8,30,214,9.5,5.53,5.23,1.0,1.0,7,427,,,
1,1992*,26,PIT,QB,14.0,12,12,9-3-0,185,313,59.1,2283,13,4.2,9,2.9,51,7.3,6.8,12.3,190.3,83.6,27,208,7.9,6.1,5.68,2.0,3.0,9,427,,PB,
2,1993,27,PIT,QB,14.0,16,15,9-6-0,270,486,55.6,3208,14,2.9,7,1.4,71,6.6,6.5,11.9,200.5,79.5,41,331,7.8,5.46,5.39,2.0,2.0,11,427,,,
3,1994,28,PIT,QB,14.0,14,14,10-4-0,212,370,57.3,2443,13,3.5,9,2.4,60,6.6,6.2,11.5,174.5,78.9,35,250,8.6,5.41,5.06,3.0,3.0,8,427,114.0,,
4,1995,29,PIT,QB,14.0,12,12,9-3-0,246,416,59.1,2970,17,4.1,7,1.7,71,7.1,7.2,12.1,247.5,87.7,15,126,3.5,6.6,6.66,2.0,4.0,10,427,139.0,,
5,1996,30,NYJ,qb,14.0,6,6,0-6-0,110,188,58.5,1147,4,2.1,7,3.7,78,6.1,4.9,10.4,191.2,67.8,18,127,8.7,4.95,3.81,,,2,427,54.0,,
6,1997,31,NYJ,QB,14.0,15,14,8-6-0,259,460,56.3,2796,17,3.7,7,1.5,70,6.1,6.1,10.8,186.4,80.3,45,289,8.9,4.96,5.01,0.0,0.0,9,427,131.0,,
7,1998,32,CIN,QB,12.0,13,11,2-9-0,212,343,61.8,2216,15,4.4,4,1.2,76,6.5,6.8,10.5,170.5,90.2,30,217,8.0,5.36,5.68,1.0,1.0,7,427,94.0,,
8,1999,33,TEN,qb,14.0,8,5,4-1-0,116,195,59.5,1382,10,5.1,5,2.6,54,7.1,7.0,11.9,172.8,87.6,9,63,4.4,6.47,6.34,2.0,2.0,5,427,65.0,,
9,2000,34,TEN,,14.0,7,1,1-0-0,36,64,56.3,530,2,3.1,3,4.7,67,8.3,6.8,14.7,75.7,74.3,3,23,4.5,7.57,6.15,2.0,2.0,2,427,25.0,,
10,2001,35,TEN,,14.0,5,1,0-1-0,42,76,55.3,496,2,2.6,2,2.6,35,6.5,5.9,11.8,99.2,73.1,6,58,7.3,5.34,4.73,,,2,427,19.0,,
11,2002,36,TEN,,14.0,4,0,,3,5,60.0,24,0,0.0,0,0.0,15,4.8,4.8,8.0,6.0,72.1,0,0,0.0,4.8,4.8,,,0,427,2.0,,
12,2003,37,TEN,,14.0,1,1,1-0-0,18,27,66.7,232,2,7.4,1,3.7,34,8.6,8.4,12.9,232.0,102.7,0,0,0.0,8.59,8.41,,,1,427,13.0,,
13,Career,Career,,,,125,100,55-45-0,1865,3229,57.8,21690,120,3.7,68,2.1,89,6.7,6.5,11.6,173.5,81.8,259,1906,7.4,5.67,5.48,15.0,18.0,73,427,656.0,,
14,5 yrs,5 yrs,PIT,,,66,61,39-22-0,1069,1871,57.1,12867,68,3.6,39,2.1,89,6.9,6.7,12.0,195.0,81.8,148,1129,7.3,5.81,5.62,10.0,13.0,45,427,253.0,,
15,5 yrs,5 yrs,TEN,,,25,8,6-2-0,215,367,58.6,2664,16,4.4,11,3.0,67,7.3,6.8,12.4,106.6,83.2,18,144,4.7,6.55,6.09,4.0,4.0,10,427,124.0,,
16,2 yrs,2 yrs,NYJ,,,21,20,8-12-0,369,648,56.9,3943,21,3.2,14,2.2,78,6.1,5.8,10.7,187.8,76.7,63,416,8.9,4.96,4.67,0.0,0.0,11,427,185.0,,
17,1 yr,1 yr,CIN,,,13,11,2-9-0,212,343,61.8,2216,15,4.4,4,1.2,76,6.5,6.8,10.5,170.5,90.2,30,217,8.0,5.36,5.68,1.0,1.0,7,427,94.0,,
0,1969,25,DEN,,12.0,2,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,428,,,
1,1970,26,DEN,,12.0,5,3,0-2-1,29,75,38.7,420,1,1.3,9,12.0,58,5.6,0.5,14.5,84.0,22.5,8,60,9.6,4.34,-0.3,1.0,0.0,2,428,,,
2,Career,Career,,,,7,3,0-2-1,29,75,38.7,420,1,1.3,9,12.0,58,5.6,0.5,14.5,60.0,22.5,8,60,9.6,4.34,-0.3,1.0,0.0,2,428,,,
0,1985,24,BUF,,14.0,1,0,,1,1,100.0,19,0,0.0,0,0.0,19,19.0,19.0,19.0,19.0,118.7,0,0,0.0,19.0,19.0,,,0,429,,,
1,1986,25,BUF,,14.0,3,0,,9,19,47.4,104,0,0.0,2,10.5,37,5.5,0.7,11.6,34.7,24.8,2,4,9.5,4.76,0.48,,,0,429,,,
2,1988,27,BUF,,14.0,3,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,429,,,
3,1989,28,BUF,,14.0,7,3,3-0-0,53,87,60.9,701,7,8.0,2,2.3,63,8.1,8.6,13.2,100.1,103.7,4,24,4.4,7.44,7.99,1.0,1.0,3,429,,,
4,1990,29,BUF,,14.0,16,2,1-1-0,36,63,57.1,469,2,3.2,0,0.0,43,7.4,8.1,13.0,29.3,91.3,6,41,8.7,6.2,6.78,,,2,429,,,
5,1991,30,BUF,,14.0,16,1,0-1-0,27,41,65.9,305,6,14.6,2,4.9,29,7.4,8.2,11.3,19.1,107.2,4,42,8.9,5.84,6.51,,,1,429,,,
6,1992,31,BUF,,14.0,16,0,,24,47,51.1,221,0,0.0,2,4.3,21,4.7,2.8,9.2,13.8,46.5,9,76,16.1,2.59,0.98,,,1,429,,,
7,1993,32,BUF,,14.0,15,0,,16,26,61.5,153,2,7.7,0,0.0,30,5.9,7.4,9.6,10.2,103.5,6,47,18.8,3.31,4.56,1.0,1.0,0,429,,,
8,1994,33,BUF,,14.0,16,2,0-2-0,56,93,60.2,568,1,1.1,4,4.3,47,6.1,4.4,10.1,35.5,63.4,7,57,7.0,5.11,3.51,,,2,429,27.0,,
9,1995,34,CAR,,14.0,3,3,0-3-0,37,84,44.0,441,2,2.4,2,2.4,46,5.3,4.7,11.9,147.0,58.7,12,100,12.5,3.55,3.03,,,1,429,19.0,,
10,1996,35,NYJ,QB,7.0,10,7,1-6-0,175,331,52.9,2205,15,4.5,16,4.8,52,6.7,5.4,12.6,220.5,68.9,14,94,4.1,6.12,4.9,,,5,429,110.0,,
11,1997,36,DET,,14.0,6,0,,11,30,36.7,121,0,0.0,2,6.7,27,4.0,1.0,11.0,20.2,21.7,0,0,0.0,4.03,1.03,,,0,429,6.0,,
12,1998,37,DET,,14.0,6,2,0-2-0,63,110,57.3,768,5,4.5,4,3.6,41,7.0,6.3,12.2,128.0,78.9,4,18,3.5,6.58,5.88,,,2,429,36.0,,
13,Career,Career,,,,118,20,5-15-0,508,932,54.5,6075,40,4.3,36,3.9,63,6.5,5.6,12.0,51.5,72.9,68,503,6.8,5.57,4.75,2.0,2.0,17,429,198.0,,
14,9 yrs,9 yrs,BUF,,,93,8,4-4-0,222,377,58.9,2540,18,4.8,12,3.2,63,6.7,6.3,11.4,27.3,81.9,38,291,9.2,5.42,4.99,2.0,2.0,9,429,27.0,,
15,2 yrs,2 yrs,DET,,,12,2,0-2-0,74,140,52.9,889,5,3.6,6,4.3,41,6.4,5.1,12.0,74.1,66.6,4,18,2.8,6.05,4.87,,,2,429,42.0,,
16,1 yr,1 yr,CAR,,,3,3,0-3-0,37,84,44.0,441,2,2.4,2,2.4,46,5.3,4.7,11.9,147.0,58.7,12,100,12.5,3.55,3.03,,,1,429,19.0,,
17,1 yr,1 yr,NYJ,,,10,7,1-6-0,175,331,52.9,2205,15,4.5,16,4.8,52,6.7,5.4,12.6,220.5,68.9,14,94,4.1,6.12,4.9,,,5,429,110.0,,
0,1953,23,WAS,qb,18.0,12,4,2-2-0,45,129,34.9,862,9,7.0,12,9.3,71,6.7,3.9,19.2,71.8,43.5,,,,,,1.0,2.0,,430,,,
1,1954,24,WAS,QB,18.0,10,6,1-5-0,44,109,40.4,798,7,6.4,13,11.9,60,7.3,3.2,18.1,79.8,48.1,,,,,,,,,430,,,
2,1956,26,PIT,,12.0,7,1,1-0-0,12,41,29.3,208,2,4.9,5,12.2,47,5.1,0.6,17.3,29.7,24.9,,,,,,,,,430,,,
3,Career,Career,,,,29,11,4-7-0,101,279,36.2,1868,18,6.5,30,10.8,71,6.7,3.1,18.5,64.4,42.1,,,,,,1.0,2.0,,430,,,
4,2 yrs,2 yrs,WAS,,,22,10,3-7-0,89,238,37.4,1660,16,6.7,25,10.5,71,7.0,3.6,18.7,75.5,45.1,,,,,,1.0,2.0,,430,,,
5,1 yr,1 yr,PIT,,,7,1,1-0-0,12,41,29.3,208,2,4.9,5,12.2,47,5.1,0.6,17.3,29.7,24.9,,,,,,,,,430,,,
0,1964,22,WAS,,14.0,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,2,15,66.7,-5.0,-5.0,,,0,431,,,
1,1965,23,WAS,,14.0,14,1,0-1-0,28,65,43.1,470,3,4.6,4,6.2,80,7.2,5.4,16.8,33.6,57.9,10,92,13.3,5.04,3.44,,,2,431,,,
2,1966,24,WAS,,14.0,14,0,,0,5,0.0,0,0,0.0,1,20.0,0,0.0,-9.0,,0.0,0.0,1,6,16.7,-1.0,-8.5,,,0,431,,,
3,1967,25,CLE,,18.0,13,0,,3,9,33.3,34,0,0.0,1,11.1,21,3.8,-1.2,11.3,2.6,6.0,2,24,18.2,0.91,-3.18,,,0,431,,,
4,1968,26,PIT,QB,17.0,13,11,2-8-1,148,304,48.7,1856,18,5.9,17,5.6,61,6.1,4.8,12.5,142.8,64.5,33,240,9.8,4.8,3.59,,,7,431,,,
5,1969,27,PIT,QB,17.0,12,9,1-8-0,97,209,46.4,1422,7,3.3,10,4.8,63,6.8,5.3,14.7,118.5,60.3,24,157,10.3,5.43,4.1,1.0,1.0,5,431,,,
6,1970,28,NYG,,11.0,14,0,,9,12,75.0,87,0,0.0,0,0.0,26,7.3,7.3,9.7,6.2,94.8,1,9,7.7,6.0,6.0,,,0,431,,,
7,1971,29,ATL,,11.0,10,4,3-1-0,30,57,52.6,463,5,8.8,5,8.8,47,8.1,5.9,15.4,46.3,72.5,10,89,14.9,5.58,3.72,1.0,1.0,2,431,,,
8,1973,31,2TM,,,7,4,1-3-0,36,68,52.9,432,3,4.4,4,5.9,34,6.4,4.6,12.0,61.7,62.9,11,86,13.9,4.38,2.86,,,2,431,,,
9,,,ATL,,11.0,4,4,1-3-0,34,64,53.1,401,3,4.7,4,6.3,34,6.3,4.4,11.8,100.3,62.0,11,86,14.7,4.2,2.6,,,2,431,,,
10,,,NWE,,11.0,3,0,,2,4,50.0,31,0,0.0,0,0.0,23,7.8,7.8,15.5,10.3,76.0,0,0,0.0,7.75,7.75,,,0,431,,,
11,1974,32,NWE,,11.0,1,0,,3,6,50.0,37,0,0.0,1,16.7,18,6.2,-1.3,12.3,37.0,29.9,0,0,0.0,6.17,-1.33,,,0,431,,,
12,Career,Career,,,,99,29,7-21-1,354,736,48.1,4801,36,4.9,43,5.8,80,6.5,4.9,13.6,48.5,61.3,94,718,11.3,4.92,3.46,2.0,2.0,18,431,,,
13,3 yrs,3 yrs,WAS,,,29,1,0-1-0,28,71,39.4,470,3,4.2,5,7.0,80,6.6,4.3,16.8,16.2,47.3,13,113,15.5,4.25,2.29,,,2,431,,,
14,2 yrs,2 yrs,ATL,,,14,8,4-4-0,64,121,52.9,864,8,6.6,9,7.4,47,7.1,5.1,13.5,61.7,67.0,21,175,14.8,4.85,3.13,1.0,1.0,4,431,,,
15,2 yrs,2 yrs,NWE,,,4,0,,5,10,50.0,68,0,0.0,1,10.0,23,6.8,2.3,13.6,17.0,32.5,0,0,0.0,6.8,2.3,,,0,431,,,
16,2 yrs,2 yrs,PIT,,,25,20,3-16-1,245,513,47.8,3278,25,4.9,27,5.3,63,6.4,5.0,13.4,131.1,62.8,57,397,10.0,5.05,3.8,1.0,1.0,12,431,,,
17,1 yr,1 yr,CLE,,,13,0,,3,9,33.3,34,0,0.0,1,11.1,21,3.8,-1.2,11.3,2.6,6.0,2,24,18.2,0.91,-3.18,,,0,431,,,
18,1 yr,1 yr,NYG,,,14,0,,9,12,75.0,87,0,0.0,0,0.0,26,7.3,7.3,9.7,6.2,94.8,1,9,7.7,6.0,6.0,,,0,431,,,
0,1992,25,NWE,,16.0,6,4,2-2-0,52,100,52.0,561,2,2.0,4,4.0,65,5.6,4.2,10.8,93.5,58.8,17,137,14.5,3.62,2.43,1.0,1.0,2,432,,,
1,1993,26,NWE,,16.0,3,0,,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,,,0,432,,,
2,1994,27,NWE,,16.0,16,0,,5,8,62.5,28,0,0.0,0,0.0,13,3.5,3.5,5.6,1.8,68.7,0,0,0.0,3.5,3.5,,,0,432,1.0,,
3,1995,28,NWE,,16.0,16,1,0-1-0,28,49,57.1,282,1,2.0,0,0.0,72,5.8,6.2,10.1,17.6,80.5,4,28,7.5,4.79,5.17,,,1,432,15.0,,
4,1996,29,NWE,,16.0,3,0,,1,1,100.0,5,0,0.0,0,0.0,5,5.0,5.0,5.0,1.7,87.5,0,0,0.0,5.0,5.0,,,0,432,,,
5,1997,30,NWE,,16.0,4,0,,6,9,66.7,67,2,22.2,0,0.0,20,7.4,11.9,11.2,16.8,128.2,0,0,0.0,7.44,11.89,,,0,432,4.0,,
6,1998,31,NWE,,16.0,6,2,1-1-0,32,75,42.7,371,3,4.0,3,4.0,61,4.9,3.9,11.6,61.8,54.9,4,49,5.1,4.08,3.13,1.0,1.0,1,432,18.0,,
7,1999,32,MIA,,14.0,1,0,,0,4,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,,,0,432,,,
8,Career,Career,,,,55,7,3-4-0,124,248,50.0,1314,8,3.2,7,2.8,72,5.3,4.7,10.6,23.9,64.8,25,214,9.2,4.03,3.46,2.0,2.0,4,432,38.0,,
9,7 yrs,7 yrs,NWE,,,54,7,3-4-0,124,244,50.8,1314,8,3.3,7,2.9,72,5.4,4.8,10.6,24.3,65.8,25,214,9.3,4.09,3.51,2.0,2.0,4,432,38.0,,
10,1 yr,1 yr,MIA,,,1,0,,0,4,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,,,0,432,0.0,,
0,1945,27,CRD,QB,15.0,8,3,,89,219,40.6,1147,5,2.3,12,5.5,70,5.2,3.2,12.9,143.4,42.6,,,,,,0,0,,433,,,
1,1946,28,CRD,QB,44.0,11,3,,100,229,43.7,1656,13,5.7,18,7.9,82,7.2,4.8,16.6,150.5,54.8,,,,,,1,2,,433,,,
2,1947,29,CRD,QB,44.0,12,8,,138,301,45.8,2191,17,5.6,22,7.3,80,7.3,5.1,15.9,182.6,59.0,,,,,,2,2,,433,,,
3,1948,30,CRD,qb,44.0,7,2,,51,114,44.7,740,5,4.4,4,3.5,71,6.5,5.8,14.5,105.7,66.4,,,,,,0,0,,433,,,
4,1949,31,CRD,QB,44.0,12,7,,75,151,49.7,1015,11,7.3,13,8.6,50,6.7,4.3,13.5,84.6,59.9,,,,,,1,1,,433,,,
5,1950,32,GNB,,28.0,11,0,,51,126,40.5,545,7,5.6,7,5.6,44,4.3,2.9,10.7,49.5,49.2,,,,,,1,1,,433,,,
6,Career,Career,,,,61,23,,504,1140,44.2,7294,58,5.1,76,6.7,82,6.4,4.4,14.5,119.6,54.8,,,,,,5,6,,433,,,
